State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000",,,,,,,,,,
CA,Merced County,3,2,2,2,"25,247","15,455","6,219","4,239",49.3,30.2,12.2,8.3,"28,243","22,220","13,337","7,462",39.6,31.2,18.7,10.5,"36,425","22,806","27,715","11,873",36.9,23.1,28.0,12.0,"42,247","27,901","33,681","12,896",36.2,23.9,28.1,12.0,"28,670","22,190","12,662","30,369",30.5,23.6,32.3,13.5
CA,Modoc County,6,6,6,6,"1,769","1,730",609,307,40.1,39.2,13.8,7.0,"1,518","2,005","1,281",677,27.7,36.6,23.4,12.4,"1,792","2,148","1,787",720,27.8,33.3,27.7,11.2,"1,483","1,900","2,282",799,22.9,29.4,27.5,51.3,"14,110","23,040","103,340","48,100",7.5,12.2,25.5,54.8
CA,Mono County,7,9,7,11,723,866,489,245,31.1,37.3,21.1,10.5,586,"1,890","1,377","1,132",11.8,37.9,27.6,22.7,804,"1,695","2,641","1,443",12.2,25.7,40.1,21.9,"1,046","1,792","3,327","2,509",12.1,20.7,38.6,20.2,"1,507","3,826","3,056","5,251",11.0,28.0,38.5,22.4
CA,Monterey County,2,2,2,2,"44,960","36,925","19,933","17,983",37.5,30.8,16.6,15.0,"46,862","47,232","35,670","31,642",29.0,29.3,22.1,19.6,"57,520","44,916","63,897","45,671",27.1,21.2,30.1,21.5,"77,061","45,354","66,774","54,939",31.6,18.6,34.6,20.2,"8,632","16,137","13,772","22,575",14.1,26.4,36.9,22.5
CA,Napa County,3,2,3,2,"16,951","15,855","8,193","5,254",36.6,34.3,17.7,11.4,"15,542","21,539","14,834","11,210",24.6,34.1,23.5,17.8,"14,495","18,399","25,538","16,773",19.3,24.5,34.0,22.3,"16,455","17,223","28,110","22,150",19.6,20.5,28.9,11.0,"48,072","37,830","19,585","44,805",32.0,25.2,29.8,13.0
CA,Nevada County,4,3,4,3,"6,445","5,719","2,764","1,612",39.0,34.6,16.7,9.7,"6,189","13,677","8,328","6,186",18.0,39.8,24.2,18.0,"7,577","14,891","20,534","12,231",13.7,27.0,37.2,22.1,"6,309","15,517","26,319","17,003",9.7,23.8,35.3,12.4,907,"1,824","1,253","2,791",13.4,26.9,41.2,18.5
CA,Orange County,1,1,1,1,"216,580","256,847","145,360","116,498",29.5,34.9,19.8,15.8,"221,997","360,814","292,019","255,992",19.6,31.9,25.8,22.6,"286,557","307,521","509,022","425,099",18.8,20.1,33.3,27.8,"372,419","317,332","564,962","558,743",20.5,17.5,38.4,28.9,"1,519","1,682","3,219","3,260",15.7,17.4,33.7,33.3
CA,Placer County,1,1,1,1,"16,171","16,075","7,161","4,362",36.9,36.7,16.4,10.0,"16,277","26,147","17,713","12,030",22.6,36.2,24.5,16.7,"17,006","29,751","41,725","25,940",14.9,26.0,36.5,22.7,"15,835","35,327","64,506","50,226",9.5,21.3,27.4,22.5,"76,462","55,991","61,432","71,949",28.8,21.1,27.1,23.1
CA,Plumas County,7,12,7,12,"2,783","2,602","1,034",643,39.4,36.8,14.6,9.1,"2,366","4,436","2,581","1,593",21.6,40.4,23.5,14.5,"2,393","4,536","4,787","2,090",17.3,32.9,34.7,15.1,"1,770","4,102","6,325","2,589",12.0,27.7,33.5,26.4,"16,458","18,321","30,483","30,278",17.2,19.2,31.7,31.9
CA,Riverside County,1,1,1,1,"105,962","82,404","39,538","27,081",41.6,32.3,15.5,10.6,"125,066","139,431","86,458","51,303",31.1,34.7,21.5,12.8,"188,015","191,492","239,668","105,530",25.9,26.4,33.1,14.6,"234,473","230,867","315,008","155,676",25.0,24.7,40.4,26.1,"4,218","15,295","24,148","29,950",5.7,20.8,40.7,32.8
